,Participant_ID,Baseline_HR,Baseline_GSR,Pretest_Time,Pretest_Mistake_Time,Pretest_GSR,Pretest_HR,Level_1_Time,Level_1_Mistake_Time,Level_1_HR,Level_1_GSR,Level_2_Time,Level_2_Mistake_Time,Level_2_HR,Level_2_GSR,Level_3_Time,Level_3_Mistake_Time,Level_3_HR,Level_3_GSR,Level_4_Time,Level_4_Mistake_Time,Level_4_HR,Level_4_GSR,Posttest_Time,Posttest_Mistake_Time,Posttest_GSR,Posttest_HR
0,2D0804,78.72115385,1.368344469,24.5405404,3.1937543,4.611047184,71.38709677,49.77847,31.136645,88.91666667,5.282314048,15.135468,1.298037,74.8125,5.261291689,26.204492,8.399752,77.90322581,5.576029045,17.475219,1.537057,86.04761905,5.835886597,31.844648,2.091139,6.164814901,83.09756098
1,2D0803,68.84951456,0.239503324,36.800053,5.2045892,0.315526819,76.80851064,18.0584193,0.97513,61.73684211,0.795438707,19.9108577,0.2439191,63.9047619,0.75123142,23.4497321,7.5337307,61.95833333,0.732773186,21.9588118,1.0076763,69.96153846,0.83006554,19.631113,3.889484,1.478321743,66.13636364
2,2D0802,65.33846154,0.164803224,37.0605045,4.9375264,0.245754862,61.44736842,20.7743443,0.7349233,62.9047619,0.4623221,37.9429847,10.8820431,61.3,0.801253753,28.2249249,4.7148921,63.57142857,3.717407733,43.7091365,5.9026837,61.88888889,4.07557831,35.5055045,1.9806958,6.397465671,62.94444444
3,2D0801,82.68421053,0.681939894,27.0614128,6.6724847,2.514432326,81.74285714,17.0709126,0,71.28571429,2.576134986,24.2821797,1.9282271,71.28571429,2.500627943,17.7661291,3.1942148,69.5,2.568724906,21.9711911,2.6550763,73.40740741,2.912686602,27.0393274,2.7070374,2.843426649,79.25
4,2D0705,74.63839286,1.57458604,39.9011303,7.3759336,2.40202204,76.1,77.1240394,26.5674237,73.44680851,3.190996254,28.3492143,3.5670272,74.72972973,3.336970497,115.4414953,70.1248914,76.72108844,3.519134656,28.8330397,2.7560187,77.02857143,3.79794848,32.03863,5.276701,4.210957035,77.97368421
5,2D0704,76.2,0.473231046,12.5000783,5.842358,1.971402715,81.2,13.5185719,3.4868033,75.94736842,2.282662378,11.1097154,3.9255797,72.71428571,2.137548312,10.3597706,1.9869445,75.71428571,2.139958784,18.9081373,7.4128379,69.68421053,2.230463439,17.2783246,6.2757728,2.334306821,75
6,2D0703,74.33183857,1.04696907,22.4780691,3.0470766,5.195795768,71.7037037,8.7850376,0.2718346,70.1,6.523008853,18.7679236,0.4862476,64.61904762,5.625951398,22.2314483,1.0440148,70.38461538,5.63701877,29.8369331,0.8376864,69.72222222,6.362692636,41.9494855,4.9751557,9.172666562,68.65306122
7,2D0702 (1),50.71270718,0.525387527,27.3405752,1.6245115,1.444314092,54.22222222,13.924607,0.7556264,55.42857143,1.708997724,16.5419036,0.0894727,54.375,2.001366968,26.2322549,0.025,52.88,2.198468912,40.197557,1.4544665,54.97619048,2.819164926,35.6724145,1.842545,2.580749576,50.05555556
8,2D0701,69.03381643,1.362772294,34.5595977,5.0240489,4.352413117,71.225,17.7677473,1.2189398,66.5,4.107515294,28.1971426,2.7895836,65.13333333,3.717686451,31.9259967,3.3306052,64.42424242,3.919413475,65.7476807,19.464016,67.33783784,4.37324602,40.7959561,4.5365845,4.588827442,65.81818182
9,2D0605,48.64444444,1.037050619,27.5606803,3.3198564,1.703609115,50.5,19.536395,1.6359954,47.42105263,2.638601409,21.6094649,0.1688783,44.55,2.776697085,20.6362522,0.3247341,49.9047619,2.963894177,26.2027847,0.8483984,44.92592593,3.137908791,34.1127639,3.539751,3.818668339,54.85294118
10,2D0604,67.62871287,0.798665313,26.0593764,3.5611652,1.844203393,73.4516129,9.2044638,0.699902,69.33333333,2.332528032,8.9104204,0.4643216,67.8,2.512860356,11.9332663,0.4263963,68.13333333,2.614438503,11.7652326,1.0499069,70.4,2.842360967,13.479918,2.1143409,2.716789969,70.5625
11,2D0602,87.66030534,0.306857324,23.1018073,4.2076648,0.25111033,83.32258065,9.6351625,0,81.5,0.786439924,12.7684581,0.6219685,78.29411765,0.785905634,14.3280551,0.6531594,80.1,1.158462524,17.3635594,0.6821012,79.63636364,1.112521606,21.1376511,4.2215269,1.460557271,81.63333333
12,2D0601,83.28514056,0.670505217,24.4614789,2.6863884,0.88666594,92.65789474,9.2592561,0.5491078,85.15384615,2.148521352,10.5820478,0.5219008,81,2.231328278,15.1220253,0.1,72.84210526,2.274729816,17.3082562,0.1634393,70.63157895,2.46013974,18.616316,0.8302587,2.967266095,77
13,2D0402,96.24137931,1.64132361,15.8585993,4.0889422,2.713109944,103.7931034,8.7304858,1.5335338,97.76470588,3.061680128,7.2135212,0.025,87.66666667,3.064780002,10.8735519,1.2008114,86.25,3.066589246,15.289157,3.2297181,90.04761905,3.102728067,13.7988915,2.618719,3.390257157,95.18181818
14,2D0401,68.43414634,0.320912891,10.4204741,3.2254833,0.684475944,71.5,8.9663552,0.2185867,66,0.774199548,7.3651516,0.2612602,67,0.922987699,12.4465396,1.5485853,69,0.92931453,12.5859382,0.6073898,69.42857143,0.913128805,17.0145105,1.9957299,1.498832786,74.15789474
15,2D0306,61.06989247,1.981813053,31.0622067,3.92731,3.000550896,81.37209302,12.0851852,1.3118376,69.07142857,3.047726546,8.7705534,0.6055541,63.9,3.034790047,16.0246913,2.8882197,64.15789474,3.018353238,13.1876893,2.675369,65.70588235,2.98023714,15.9976983,3.144787,3.217722601,68.9
16,2D0305,71.73148148,2.012520458,41.541172,6.0343579,2.914526424,80.49090909,23.2804845,0.5082014,74.13333333,3.346103871,29.8384037,1.1085696,76.05405405,3.615554194,64.9419032,7.992524,75.77777778,3.522953478,32.2624039,0.9275534,74.71794872,3.650341043,36.7865313,3.5527517,4.291818047,74.2
17,2D0304,80.29288703,2.535339636,27.0584829,4.7297289,7.305368952,92.725,13.5624067,1.1272195,86.7,10.9231488,16.2912046,0.9120161,87.23809524,10.95366858,20.8439309,1.4478687,85.3,11.43629546,23.894752,2.8994328,89.11764706,12.29678307,22.9195579,3.5564393,14.53825012,96.23529412
18,2D0303,69.88516746,0.501850589,25.2885858,2.422718,0.487866988,75,11.0694425,2.5914638,68.91666667,0.573757772,17.5703186,3.4694727,67.36842105,0.588002778,13.3249007,0.8785634,70.13333333,0.608572097,16.2803739,4.4835417,71.21052632,0.6372902,18.6301926,2.354815,0.942640588,77.20833333
19,2D0302,88.46840149,1.469059638,20.361099,4.5421722,2.602756175,89.96428571,56.6280286,0,81.22368421,2.51945718,16.0675376,2.2057164,82.38095238,2.60496402,20.9415706,0.7123879,77.23076923,2.610006561,19.1198857,1.4591199,78.96,2.664457492,18.4908828,2.8538975,2.949034398,84.95833333
